Temperature(℃),Time(h),GMP Concentration(mM),H2O,DES,EtOH,CD Wavelength(nm) ,CD,CD=0,*-10,*+10,cotton effect,CPL Wavelength(nm) ,CPL max,g(lum)-CPL max, Dcmax Wavelength(nm),DC max(V),g(lum)-DC max
,,,,,,,,,,,,,,,,,
140,4,100,1,1,2,292.6,162.052,336.6,28.5062,-23.8837,2,435.6,704.43,0.10316,439,0.478489,0.101953
140,4,100,1,1,2,292.6,162.052,336.6,28.5062,-23.8837,2,435,659.405,0.0911737,438.2,0.508448,0.0901846
140,4,100,1,1,2,292.6,162.052,336.6,28.5062,-23.8837,2,434.6,547.37,0.0869471,438.4,0.442514,0.085539
140,4,100,1,1,2,292.6,162.052,336.6,28.5062,-23.8837,2,439,792.739,0.11437,439,0.483899,0.11437
,,,,,,,,,,,,,,,,,
140,4,200,1,1,2,306.8,535.92,262.6,-101.285,156.135,1,447,74.4745,0.0107869,438.4,0.501482,0.00986999
140,4,200,1,1,2,306.8,535.92,262.6,-101.285,156.135,1,442.2,111.405,0.0165434,435.4,0.481182,0.0142721
140,4,200,1,1,2,306.8,535.92,262.6,-101.285,156.135,1,449,127.03,0.0195698,448.4,0.453369,0.0188396
140,4,200,1,1,2,306.8,535.92,262.6,-101.285,156.135,1,462,104.827,0.0169699,445.8,0.458469,0.0143804
,,,,,,,,,,,,,,,,,
140,4,300,1,1,2,319.2,903.098,271.2,-227.845,182.208,1,454.4,57.4319,0.0085342,439.4,0.51168,0.00547999
140,4,300,1,1,2,319.2,903.098,271.2,-227.845,182.208,1,440.8,62.9585,0.00886632,437.2,0.499387,0.00730191
140,4,300,1,1,2,319.2,903.098,271.2,-227.845,182.208,1,461.4,47.8987,0.00791873,439.6,0.497308,0.00613033
140,4,300,1,1,2,319.2,903.098,271.2,-227.845,182.208,1,435.4,46.1856,0.00593364,438.8,0.490378,0.00566026
,,,,,,,,,,,,,,,,,
140,4,400,1,1,2,329.4,677.698,270.4,-117.146,113.884,1,461.4,57.5974,0.00976909,438.8,0.493009,0.00641146
140,4,400,1,1,2,329.4,677.698,270.4,-117.146,113.884,1,439.8,66.5462,0.00937227,437.6,0.496572,0.00882393
140,4,400,1,1,2,329.4,677.698,270.4,-117.146,113.884,1,437,73.7075,0.0103113,439,0.499451,0.0100661
140,4,400,1,1,2,329.4,677.698,270.4,-117.146,113.884,1,453.4,76.4939,0.0115561,440.2,0.490219,0.00983547
,,,,,,,,,,,,,,,,,
140,4,500,1,1,2,301,264.999,252.6,-11.4104,56.4339,1,440,100.059,0.0136655,437.6,0.512904,0.0135125
140,4,500,1,1,2,301,264.999,252.6,-11.4104,56.4339,1,446.6,144.13,0.0210246,437.8,0.496195,0.019045
140,4,500,1,1,2,301,264.999,252.6,-11.4104,56.4339,1,441,105.55,0.0150919,435.6,0.494301,0.014044
140,4,500,1,1,2,301,264.999,252.6,-11.4104,56.4339,1,440.6,167.207,0.0236118,435.2,0.498981,0.0216225
,,,,,,,,,,,,,,,,,
120,4,50,1,1,1,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
120,4,100,1,1,1,,,,,,,429.2,33.7712,0.0067037,433,0.355112,0.00311026
120,4,100,1,1,1,,,,,,,434,34.7033,0.00594347,433.4,0.408304,0.00543357
120,4,100,1,1,1,,,,,,,437.8,16.2472,0.00190902,433.4,0.297853,0.00111283
,,,,,,,,,,,,,,,,,
120,4,200,1,1,1,,,,,,,433,3.23525,0.000472858,433,0.477655,0.000472858
120,4,200,1,1,1,,,,,,,434.6,-8.99625,-0.00129167,434.6,0.486234,-0.00129167
120,4,200,1,1,1,,,,,,,434.4,-6.88496,-0.000977742,434.4,0.491763,-0.000977742
120,4,200,1,1,1,,,,,,,434.8,-19.4788,-0.00286391,434.8,0.474833,-0.00286391
,,,,,,,,,,,,,,,,,
120,4,300,1,1,1,,,,,,,433.6,-6.98395,-0.000994683,431.4,0.490968,0.000117548
120,4,300,1,1,1,,,,,,,429,-13.4601,-0.00191258,432.4,0.493841,-0.00145761
120,4,300,1,1,1,,,,,,,430.8,-18.2558,-0.00266613,432.4,0.478568,-0.00203125
120,4,300,1,1,1,,,,,,,444.8,-21.5439,-0.00329367,431.8,0.490809,-0.002093077
,,,,,,,,,,,,,,,,,
120,4,400,1,1,1,,,,,,,426.8,12.2091,0.00169258,432.8,0.510498,0.00134393
120,4,400,1,1,1,,,,,,,424.2,21.425,0.00349344,437,0.460308,0.00206858
120,4,400,1,1,1,,,,,,,427.2,38.0868,0.00545008,433,0.497135,0.00416689
120,4,400,1,1,1,,,,,,,430.6,40.2823,0.00572733,434.2,0.493457,0.00505232
,,,,,,,,,,,,,,,,,
120,4,500,1,1,1,,,,,,,427.6,15.266,0.00239071,435.6,0.459219,0.000621428
120,4,500,1,1,1,,,,,,,459.6,17.8158,0.00136094,436.2,0.47437,0.00102194
120,4,500,1,1,1,,,,,,,444.4,16.4795,0.00241748,432.2,0.504275,0.00126231
120,4,500,1,1,1,,,,,,,448.4,24.3273,0.0039669,435.2,0.46065,0.00238391
,,,,,,,,,,,,,,,,,
120,4,50,2,1,1,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
120,4,100,2,1,1,,,,,,,432.8,2.4119,0.000363636,432.8,0.463051,0.000363636
120,4,100,2,1,1,,,,,,,433,22.8845,0.00369271,433,0.432645,0.00369271
120,4,100,2,1,1,,,,,,,433.2,4.12808,0.000652083,433.2,0.441958,0.000652083
120,4,100,2,1,1,,,,,,,432.6,11.1848,0.0018048,432.6,0.432649,0.0018048
,,,,,,,,,,,,,,,,,
120,4,200,2,1,1,,,,,,,443,26.3243,0.004446314,435.2,0.423894,0.00444988
120,4,200,2,1,1,,,,,,,447,26.734,0.00461056,436.2,0.435565,0.00308052
120,4,200,2,1,1,,,,,,,438,39.3541,0.00695947,436,0.396379,0.00642475
120,4,200,2,1,1,,,,,,,440.6,36.2719,0.00568349,435.8,0.453283,0.0023396
,,,,,,,,,,,,,,,,,
120,4,300,2,1,1,,,,,,,437.2,11.3698,0.00164688,437.2,0.481977,0.00164688
120,4,300,2,1,1,,,,,,,437.2,1.88684,0.000276212,437.2,0.476902,0.000276212
120,4,300,2,1,1,,,,,,,436.8,4.62861,0.000684976,436.8,0.47175,0.000684976
,,,,,,,,,,,,,,,,,
120,4,400,2,1,1,,,,,,,438,-7.40611,-0.00106764,438,0.484285,-0.00106764
120,4,400,2,1,1,,,,,,,437.2,-5.60293,-0.000830488,437.2,0.470997,-0.000830488
120,4,400,2,1,1,,,,,,,437.2,-6.2051,-0.000828186,437.2,0.523067,-0.000828186
,,,,,,,,,,,,,,,,,
120,4,500,2,1,1,,,,,,,436.8,3.92157,0.000573466,436.8,0.477407,0.000573466
120,4,500,2,1,1,,,,,,,436.6,4.48481,0.000641506,436.6,0.488068,0.000641506
120,4,500,2,1,1,,,,,,,436.4,-0.773345,-0.000110249,436.4,0.489707,-0.000110249
,,,,,,,,,,,,,,,,,
120,4,50,1,2,1,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
120,4,100,1,2,1,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
120,4,200,1,2,1,,,,,,,434.8,-55.1604,-0.00795284,434.6,0.484391,-0.007634
120,4,200,1,2,1,,,,,,,447.8,-28.4169,-0.00450523,435,0.480385,-0.00229996
120,4,200,1,2,1,,,,,,,444.6,-22.9948,-0.00342935,434.8,0.498739,-0.00199952
120,4,200,1,2,1,,,,,,,437,-72.7062,-0.0101912,432,0.505527,-0.00883714
,,,,,,,,,,,,,,,,,
